State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
CT,ANSONIA POLICE DEPT,2320-01-346-9317,"TRUCK,UTILITY",1,Each,89900,C,1,2012-04-04 00:00:00,State
CT,ANSONIA POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,321,D,1,2012-07-13 00:00:00,State
CT,BEACON FALLS POLICE,1240-01-551-5762,"SIGHT,REFLEX",1,Each,322,C,1,2018-05-02 00:00:00,State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1999-04-05 00:00:00,State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1999-04-05 00:00:00,State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1999-04-05 00:00:00,State
CT,BEACON FALLS POLICE,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,D,1,1999-04-05 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-09-17 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-09-17 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",1,Each,749,D,1,2014-09-17 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-465-5080,"BUTTSTOCK,SUBASSEMBLY",5,Each,43.68,B,3,2014-12-10 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-484-8000,"SIGHT,REAR",9,Each,55.04,D,1,2015-09-03 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-382-6795,"RECEIVER,CARTRIDGE",9,Each,41.04,D,1,2015-10-22 00:00:00,State
CT,BEACON FALLS POLICE,4710-01-233-8637,"TUBE,BENT,METALLIC",6,Each,8.31,D,1,2015-11-10 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-233-8529,BARREL AND FRONT SIGHT ASSEMBLY,9,Each,117,D,1,2015-10-21 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-233-8531,"EXTENSION,LOWER    ",9,Each,51.99,D,1,2016-05-05 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-233-8530,"PLATE,RECEIVER END ",7,Each,2.71,D,1,2016-05-05 00:00:00,State
CT,BEACON FALLS POLICE,1005-01-452-3527,"ADAPTER RAIL,WEAPON MOUNTED,M4",9,Each,78.34,D,7,2015-11-02 00:00:00,State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,321,D,1,2014-08-28 00:00:00,State
CT,BEACON FALLS POLICE,1240-01-411-1265,"SIGHT,REFLEX",1,Each,321,D,1,2014-08-28 00:00:00,State
