state,station_name,nsn,item_name,quantity,ui,acquisition_value,demil_code,demil_ic,ship_date,station_type,org_ship_date,file_date,book_name,sheet_name
TX,AUSTIN POLICE DEPT,8415-01-442-1991,"VEST,SURVIVAL",18,Each,300.79,B,3,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,8415-01-442-1991,"VEST,SURVIVAL",40,Each,300.79,B,3,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1615-00-125-4041,"CONE SET,MAIN ROTOR",2,Set,160.05,B,3,2016-01-20,,2016-01-20 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-412-6608,"TELESCOPE,STRAIGHT",37,Each,943,D,7,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2009-11-19,,2009-11-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,1240-01-411-1265,"SIGHT,REFLEX",1,Each,365,D,1,2010-11-16,,2010-11-16 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-448-5464,"ILLUMINATOR,INFRARED",4,Each,359,C,1,2015-05-19,,2015-05-19 00:00:00,2016-04-04,all-states,Texas
TX,AUSTIN POLICE DEPT,5855-01-246-6807,"MOUNT ASSEMBLY,OBJE",1,Each,158.62,D,1,2014-03-18,,2014-03-18 11:55:31.999296,2016-04-04,all-states,Texas
